episode,distance,duration_ticks,crashed,epsilon
1,3130.00,313,True,0.8998
2,3270.00,327,True,0.8996
3,1900.00,190,True,0.8995
4,5890.00,589,True,0.8992
5,2700.00,270,True,0.8990
6,3760.00,376,True,0.8988
7,4090.00,409,True,0.8986
8,2560.00,256,True,0.8985
9,2320.00,232,True,0.8983
10,1760.00,176,True,0.8982
11,2010.00,201,True,0.8981
12,3060.00,306,True,0.8979
13,3630.00,363,True,0.8977
14,1730.00,173,True,0.8976
15,2330.00,233,True,0.8975
16,2310.00,231,True,0.8974
17,2610.00,261,True,0.8972
18,4350.00,435,True,0.8970
19,4030.00,403,True,0.8968
20,3210.00,321,True,0.8966
21,3190.00,319,True,0.8964
22,3460.00,346,True,0.8962
23,7980.00,798,True,0.8957
24,3960.00,396,True,0.8955
25,6640.00,664,True,0.8951
26,2710.00,271,True,0.8950
27,2950.00,295,True,0.8948
28,2460.00,246,True,0.8947
29,4920.00,492,True,0.8944
30,1920.00,192,True,0.8943
31,4170.00,417,True,0.8941
32,2990.00,299,True,0.8939
33,4600.00,460,True,0.8936
34,3650.00,365,True,0.8934
35,3120.00,312,True,0.8933
36,3060.00,306,True,0.8931
37,1840.00,184,True,0.8930
38,1650.00,165,True,0.8929
39,4090.00,409,True,0.8927
40,3870.00,387,True,0.8924
41,2000.00,200,True,0.8923
42,4910.00,491,True,0.8921
43,2000.00,200,True,0.8919
44,4180.00,418,True,0.8917
45,4770.00,477,True,0.8914
46,7360.00,736,True,0.8910
47,5530.00,553,True,0.8907
48,4380.00,438,True,0.8905
49,4630.00,463,True,0.8902
50,2990.00,299,True,0.8900
51,3840.00,384,True,0.8898
52,2310.00,231,True,0.8897
53,11680.00,1168,True,0.8891
54,3030.00,303,True,0.8889
55,1810.00,181,True,0.8888
56,4290.00,429,True,0.8885
57,2900.00,290,True,0.8884
58,3400.00,340,True,0.8882
59,4240.00,424,True,0.8880
60,3120.00,312,True,0.8878
61,2940.00,294,True,0.8876
62,1650.00,165,True,0.8875
63,3090.00,309,True,0.8873
64,3990.00,399,True,0.8871
65,2980.00,298,True,0.8870
66,3000.00,300,True,0.8868
67,2860.00,286,True,0.8866
68,5910.00,591,True,0.8863
69,3620.00,362,True,0.8861
70,2430.00,243,True,0.8860
71,2090.00,209,True,0.8858
72,3730.00,373,True,0.8856
73,5140.00,514,True,0.8854
74,3270.00,327,True,0.8852
75,2290.00,229,True,0.8850
76,3820.00,382,True,0.8848
77,2330.00,233,True,0.8847
78,3440.00,344,True,0.8845
79,3270.00,327,True,0.8843
80,2640.00,264,True,0.8842
81,9240.00,924,True,0.8837
82,2300.00,230,True,0.8835
83,3860.00,386,True,0.8833
84,3060.00,306,True,0.8832
85,2450.00,245,True,0.8830
86,2650.00,265,True,0.8829
87,1990.00,199,True,0.8828
88,4830.00,483,True,0.8825
89,2730.00,273,True,0.8823
90,2960.00,296,True,0.8822
91,4770.00,477,True,0.8819
92,3780.00,378,True,0.8817
93,3180.00,318,True,0.8815
94,1780.00,178,True,0.8814
95,3360.00,336,True,0.8812
96,2140.00,214,True,0.8811
97,8390.00,839,True,0.8807
98,1560.00,156,True,0.8806
99,2490.00,249,True,0.8804
100,7710.00,771,True,0.8800
101,5200.00,520,True,0.8797
102,4090.00,409,True,0.8795
103,3050.00,305,True,0.8793
104,3360.00,336,True,0.8791
105,1790.00,179,True,0.8790
106,2390.00,239,True,0.8789
107,3120.00,312,True,0.8787
108,7750.00,775,True,0.8783
109,1960.00,196,True,0.8782
110,3890.00,389,True,0.8780
111,4660.00,466,True,0.8777
112,1970.00,197,True,0.8776
113,3850.00,385,True,0.8774
114,9490.00,949,True,0.8769
115,2030.00,203,True,0.8768
116,2450.00,245,True,0.8766
117,3570.00,357,True,0.8764
118,7250.00,725,True,0.8760
119,3930.00,393,True,0.8758
120,5270.00,527,True,0.8755
121,2220.00,222,True,0.8754
122,2090.00,209,True,0.8753
123,2680.00,268,True,0.8752
124,4100.00,410,True,0.8749
125,2170.00,217,True,0.8748
126,9320.00,932,True,0.8743
127,3080.00,308,True,0.8741
128,3290.00,329,True,0.8739
